"phi","n","CI","target","cov","LB","UB"
-0.2,1600,"propCI","mu",0.9494,0.94487696514991,0.953573884006249
-0.2,1600,"bcCI","mu",0.9486,0.944045333198836,0.952806167061641
-0.2,1600,"bcaCI","mu",0.9412,0.936365722026615,0.945691766588441
-0.2,3200,"stdCI","mu",0.9512,0.946749231624464,0.955300149454445
-0.2,3200,"stuCI","mu",0.953,0.948623078948207,0.957024829443725
-0.2,3200,"pctCI","mu",0.9502,0.945708893646419,0.954341303573594
-0.2,3200,"ctrCI","mu",0.9499,0.945396885284869,0.954053556510763
-0.2,3200,"propCI","mu",0.9495,0.94498093985835,0.95366982785195
-0.2,3200,"bcCI","mu",0.9493,0.944772995074659,0.953477935514363
-0.2,3200,"bcaCI","mu",0.9363,0.93129213986023,0.940969285804703
0,100,"stdCI","mu",0.9349,0.929844063151603,0.939618483983526
0,100,"stuCI","mu",0.9492,0.944669029619667,0.953381982389288
0,100,"pctCI","mu",0.9321,0.926949803685158,0.936914982361705
0,100,"ctrCI","mu",0.9328,0.927673137581544,0.937591089219285
0,100,"propCI","mu",0.9321,0.926949803685158,0.936914982361705
0,100,"bcCI","mu",0.9319,0.926743164558122,0.936721781216461
0,100,"bcaCI","mu",0.9251,0.919724397706335,0.93014596506421
0,200,"stdCI","mu",0.9393,0.934397400766418,0.943861616788687
0,200,"stuCI","mu",0.9483,0.943733546333433,0.952518197883227
0,200,"pctCI","mu",0.937,0.93201642336955,0.9416444410246
0,200,"ctrCI","mu",0.9398,0.934915252174811,0.944343363327333
0,200,"propCI","mu",0.9377,0.932740873695425,0.942319429057636
0,200,"bcCI","mu",0.9392,0.934293841275767,0.943765256664942
0,200,"bcaCI","mu",0.9304,0.925193757204152,0.935272385745771
0,400,"stdCI","mu",0.9449,0.940202712028365,0.949251789637236
0,400,"stuCI","mu",0.9513,0.946853292016019,0.955396007371772
0,400,"pctCI","mu",0.9434,0.938646526435033,0.94780918776582
0,400,"ctrCI","mu",0.9434,0.938646526435033,0.94780918776582
0,400,"propCI","mu",0.9437,0.938957691273778,0.948097780602061
0,400,"bcCI","mu",0.9424,0.937609565945778,0.946846955371381
0,400,"bcaCI","mu",0.9358,0.93077489521264,0.940486931138822
0,800,"stdCI","mu",0.946,0.94134450033319,0.950309110643172
0,800,"stuCI","mu",0.9499,0.945396885284869,0.954053556510763
0,800,"pctCI","mu",0.9432,0.938439103003567,0.94761677269798
0,800,"ctrCI","mu",0.9454,0.94072164424087,0.94973245272772
0,800,"propCI","mu",0.9437,0.938957691273778,0.948097780602061
0,800,"bcCI","mu",0.9435,0.938750244079226,0.947905389356528
0,800,"bcaCI","mu",0.9357,0.930671456259703,0.940390450207315
0,1600,"stdCI","mu",0.9484,0.943837470777787,0.952614192132546
0,1600,"stuCI","mu",0.9502,0.945708893646419,0.954341303573594
0,1600,"pctCI","mu",0.9472,0.942590671402201,0.951461966383575
0,1600,"ctrCI","mu",0.9468,0.942175212225334,0.951077750139863
0,1600,"propCI","mu",0.9479,0.943317893376994,0.952134175942345
0,1600,"bcCI","mu",0.9484,0.943837470777787,0.952614192132546
0,1600,"bcaCI","mu",0.9407,0.935847613974296,0.945210277296831
0,3200,"stdCI","mu",0.9465,0.941863663204975,0.950789542474059
0,3200,"stuCI","mu",0.9485,0.943941399728795,0.95271018186283
0,3200,"pctCI","mu",0.9454,0.94072164424087,0.94973245272772
0,3200,"ctrCI","mu",0.9443,0.939580128824469,0.948674858130711
0,3200,"propCI","mu",0.9453,0.940617849518961,0.949636328410368
0,3200,"bcCI","mu",0.9451,0.94041027251552,0.949444067303186
0,3200,"bcaCI","mu",0.9344,0.929327048385084,0.939135898940267
0.2,100,"stdCI","mu",0.9212,0.915704626611637,0.926368832307628
0.2,100,"stuCI","mu",0.9369,0.93191294414381,0.941548000454316
0.2,100,"pctCI","mu",0.9191,0.91354172560102,0.924333397681568
0.2,100,"ctrCI","mu",0.9194,0.913850645497095,0.924624240132033
0.2,100,"propCI","mu",0.9192,0.913644696484294,0.924430347584564
0.2,100,"bcCI","mu",0.9179,0.912306261827733,0.92316981170541
0.2,100,"bcaCI","mu",0.9099,0.904078220817679,0.915404174171666
0.2,200,"stdCI","mu",0.9297,0.924470929897528,0.934595771274949
0.2,200,"stuCI","mu",0.9405,0.935640396750503,0.945017655521359
0.2,200,"pctCI","mu",0.9292,0.923954712491203,0.934112387238372
0.2,200,"ctrCI","mu",0.9286,0.923335347067404,0.933532230744024
0.2,200,"propCI","mu",0.9283,0.92302570305581,0.933242113721413
0.2,200,"bcCI","mu",0.9279,0.92261288417261,0.932855251148916
0.2,200,"bcaCI","mu",0.9187,0.913129866127205,0.923945573969694
0.2,400,"stdCI","mu",0.9341,0.929016878193278,0.938846309163945
0.2,400,"stuCI","mu",0.9387,0.933776097323833,0.943283402421796
0.2,400,"pctCI","mu",0.9325,0.927363118797398,0.937301347718488
0.2,400,"ctrCI","mu",0.9317,0.926536537650403,0.936528567826964
0.2,400,"propCI","mu",0.9322,0.92705312784652,0.937011578327075
