"phi","n","blksize","CI","target","cov","LB","UB"
-0.2,200,12,"ctrCI","sigma",0.9251,0.919724397706335,0.93014596506421
-0.2,200,12,"bcCI","sigma",0.9235,0.918074784034103,0.928596849805768
-0.2,200,12,"bcaCI","sigma",0.9233,0.917868629554041,0.928403163084021
-0.2,200,12,"propCI","sigma",0.9219,0.916425836492561,0.927047067219018
-0.2,200,6,"stdCI","sigma",0.9301,0.924883956406104,0.934982425817084
-0.2,200,6,"stuCI","sigma",0.9397,0.93481167467133,0.944247021258179
-0.2,200,6,"pctCI","sigma",0.9261,0.920755753203096,0.931113814512622
-0.2,200,6,"ctrCI","sigma",0.9281,0.922819287946867,0.93304868811341
-0.2,200,6,"bcCI","sigma",0.9289,0.923645016829114,0.933822321966605
-0.2,200,6,"bcaCI","sigma",0.9306,0.925400305879543,0.935465677525369
-0.2,200,6,"propCI","sigma",0.9279,0.92261288417261,0.932855251148916
-0.2,3200,15,"stdCI","sigma",0.9503,0.945812905893612,0.954437209774249
-0.2,3200,15,"stuCI","sigma",0.9515,0.947061427487745,0.955587708474881
-0.2,3200,15,"pctCI","sigma",0.9489,0.944357160847865,0.953094095343924
-0.2,3200,15,"ctrCI","sigma",0.9494,0.94487696514991,0.953573884006249
-0.2,3200,15,"bcCI","sigma",0.9487,0.944149271200351,0.952902147716477
-0.2,3200,15,"bcaCI","sigma",0.9482,0.94362962638341,0.952422199127256
-0.2,3200,15,"propCI","sigma",0.9496,0.945084919212975,0.953765767038407
-0.2,3200,30,"stdCI","sigma",0.949,0.944461112519045,0.95319006229123
-0.2,3200,30,"stuCI","sigma",0.9518,0.947373667632259,0.95587522308419
-0.2,3200,30,"pctCI","sigma",0.9478,0.943213991282251,0.952038159282391
-0.2,3200,30,"ctrCI","sigma",0.9483,0.943733546333433,0.952518197883227
-0.2,3200,30,"bcCI","sigma",0.9463,0.941655985288156,0.95059738254341
-0.2,3200,30,"bcaCI","sigma",0.9456,0.940929246178648,0.949924688836119
-0.2,3200,30,"propCI","sigma",0.9477,0.943110093621107,0.951942138176808
-0.2,400,15,"stdCI","sigma",0.9329,0.92777648339122,0.937687663491737
-0.2,400,15,"stuCI","sigma",0.9439,0.93916515440938,0.948290155866628
-0.2,400,15,"pctCI","sigma",0.9297,0.924470929897528,0.934595771274949
-0.2,400,15,"ctrCI","sigma",0.9311,0.925916729748925,0.935948854688973
-0.2,400,15,"bcCI","sigma",0.9316,0.926433228763274,0.936431956556191
-0.2,400,15,"bcaCI","sigma",0.9324,0.927259785396326,0.937204761011804
-0.2,400,15,"propCI","sigma",0.9308,0.925606866458137,0.935658957377967
-0.2,400,8,"stdCI","sigma",0.9367,0.931705995875154,0.94135510910837
-0.2,400,8,"stuCI","sigma",0.943,0.938231695316172,0.947424341847017
-0.2,400,8,"pctCI","sigma",0.9352,0.930154310982767,0.939907995954818
-0.2,400,8,"ctrCI","sigma",0.9339,0.928810114063689,0.938653233280935
-0.2,400,8,"bcCI","sigma",0.9365,0.931499061133761,0.941162204205289
-0.2,400,8,"bcaCI","sigma",0.9354,0.930361159224483,0.940100987546209
-0.2,400,8,"propCI","sigma",0.9361,0.931085231995624,0.940776353965781
-0.2,800,10,"stdCI","sigma",0.9458,0.941136864847053,0.950116908170437
-0.2,800,10,"stuCI","sigma",0.9496,0.945084919212975,0.953765767038407
-0.2,800,10,"pctCI","sigma",0.9432,0.938439103003567,0.94761677269798
-0.2,800,10,"ctrCI","sigma",0.9436,0.938853965688844,0.94800158697192
-0.2,800,10,"bcCI","sigma",0.9431,0.938335397196727,0.947520559240502
-0.2,800,10,"bcaCI","sigma",0.9434,0.938646526435033,0.94780918776582
-0.2,800,10,"propCI","sigma",0.9434,0.938646526435033,0.94780918776582
-0.2,800,19,"stdCI","sigma",0.9393,0.934397400766418,0.943861616788687
-0.2,800,19,"stuCI","sigma",0.9445,0.939787640266106,0.948867184967359
-0.2,800,19,"pctCI","sigma",0.9379,0.932947890507844,0.942512251706878
-0.2,800,19,"ctrCI","sigma",0.9385,0.933569024558344,0.943090635852426
-0.2,800,19,"bcCI","sigma",0.9354,0.930361159224483,0.940100987546209
-0.2,800,19,"bcaCI","sigma",0.9354,0.930361159224483,0.940100987546209
-0.2,800,19,"propCI","sigma",0.9373,0.932326881502833,0.941933742233932
-0.4,100,10,"stdCI","sigma",0.8981,0.891965809468714,0.903925874136113
-0.4,100,10,"stuCI","sigma",0.9324,0.927259785396326,0.937204761011804
-0.4,100,10,"pctCI","sigma",0.8889,0.882539539889381,0.894959362780148
-0.4,100,10,"ctrCI","sigma",0.8952,0.888992952182488,0.901101008911721
-0.4,100,10,"bcCI","sigma",0.8926,0.886328850177234,0.898567151262816
-0.4,100,10,"bcaCI","sigma",0.8941,0.8878656938791,0.90002913061064
-0.4,100,10,"propCI","sigma",0.8939,0.887660759722185,0.899834221721138
-0.4,100,5,"stdCI","sigma",0.9078,0.901920637395624,0.913363413470414
-0.4,100,5,"stuCI","sigma",0.9243,0.918899506400574,0.929371492058239
-0.4,100,5,"pctCI","sigma",0.9028,0.896787068557996,0.908500919764289
-0.4,100,5,"ctrCI","sigma",0.9078,0.901920637395624,0.913363413470414
-0.4,100,5,"bcCI","sigma",0.9058,0.899866624168578,0.91141900251219
-0.4,100,5,"bcaCI","sigma",0.9053,0.899353244322083,0.910932776135218
-0.4,100,5,"propCI","sigma",0.9039,0.89791603865739,0.90957108400986
-0.4,1600,12,"stdCI","sigma",0.9404,0.935536793674388,0.944921339084768
-0.4,1600,12,"stuCI","sigma",0.9423,0.937505891280556,0.946750710695684
-0.4,1600,12,"pctCI","sigma",0.9384,0.933465493460884,0.942994247270409
-0.4,1600,12,"ctrCI","sigma",0.938,0.933051404120247,0.942608657813575
-0.4,1600,12,"bcCI","sigma",0.9394,0.934500963842999,0.943957973318219
-0.4,1600,12,"bcaCI","sigma",0.9389,0.933983184237045,0.943476154811103
-0.4,1600,12,"propCI","sigma",0.9387,0.933776097323833,0.943283402421796
-0.4,1600,24,"stdCI","sigma",0.9404,0.935536793674388,0.944921339084768
-0.4,1600,24,"stuCI","sigma",0.9442,0.939476379177459,0.948578688623185
-0.4,1600,24,"pctCI","sigma",0.9395,0.934604530513794,0.944054326245218
-0.4,1600,24,"ctrCI","sigma",0.9384,0.933465493460884,0.942994247270409
-0.4,1600,24,"bcCI","sigma",0.9389,0.933983184237045,0.943476154811103
-0.4,1600,24,"bcaCI","sigma",0.9384,0.933465493460884,0.942994247270409
-0.4,1600,24,"propCI","sigma",0.9388,0.933879639007935,0.943379780393013
-0.4,200,12,"stdCI","sigma",0.9139,0.90819046896941,0.919288768090083
-0.4,200,12,"stuCI","sigma",0.9328,0.927673137581544,0.937591089219285
-0.4,200,12,"pctCI","sigma",0.911,0.905208748241742,0.916472778839027
-0.4,200,12,"ctrCI","sigma",0.9123,0.906545156712713,0.917735344154907
-0.4,200,12,"bcCI","sigma",0.912,0.906236722628533,0.917444015106821
-0.4,200,12,"bcaCI","sigma",0.9134,0.90767624866441,0.918803383429268
-0.4,200,12,"propCI","sigma",0.9127,0.906956432407837,0.918123752589372
-0.4,200,6,"stdCI","sigma",0.9238,0.918384035279071,0.928887360328398
-0.4,200,6,"stuCI","sigma",0.9341,0.929016878193278,0.938846309163945
-0.4,200,6,"pctCI","sigma",0.9195,0.913953623634806,0.924721182768297
-0.4,200,6,"ctrCI","sigma",0.9233,0.917868629554041,0.928403163084021
-0.4,200,6,"bcCI","sigma",0.9222,0.916734964287357,0.927337701411695
-0.4,200,6,"bcaCI","sigma",0.9215,0.916013701483996,0.926659519515474
-0.4,200,6,"propCI","sigma",0.9215,0.916013701483996,0.926659519515474
-0.4,3200,15,"stdCI","sigma",0.947,0.94238293313502,0.951269866963641
-0.4,3200,15,"stuCI","sigma",0.9485,0.943941399728795,0.95271018186283
-0.4,3200,15,"pctCI","sigma",0.9439,0.93916515440938,0.948290155866628
-0.4,3200,15,"ctrCI","sigma",0.9448,0.940098937951994,0.949155644621243
-0.4,3200,15,"bcCI","sigma",0.944,0.939268891980048,0.948386337480964
-0.4,3200,15,"bcaCI","sigma",0.9452,0.9405140589474,0.949540199931951
-0.4,3200,15,"propCI","sigma",0.9439,0.93916515440938,0.948290155866628
-0.4,3200,30,"stdCI","sigma",0.9444,0.939683882517269,0.9487710235822
-0.4,3200,30,"stuCI","sigma",0.9482,0.94362962638341,0.952422199127256
-0.4,3200,30,"pctCI","sigma",0.944,0.939268891980048,0.948386337480964
-0.4,3200,30,"ctrCI","sigma",0.9429,0.938127997352226,0.947328120527245
-0.4,3200,30,"bcCI","sigma",0.9444,0.939683882517269,0.9487710235822
-0.4,3200,30,"bcaCI","sigma",0.9438,0.939061420843964,0.948193970236971
-0.4,3200,30,"propCI","sigma",0.9449,0.940202712028365,0.949251789637236
