"phi","n","CI","target","cov","LB","UB"
-0.4,400,"bcCI","phi",0.7455,0.736819107477258,0.75399124535804
-0.4,400,"bcaCI","phi",0.7428,0.734090560383147,0.751321881956636
-0.4,400,"propCI","phi",0.9482,0.94362962638341,0.952422199127256
-0.4,800,"stdCI","phi",0.9504,0.945916922893283,0.954533111208841
-0.4,800,"stuCI","phi",0.9531,0.948727229632604,0.957120596799471
-0.4,800,"pctCI","phi",0.7793,0.771014627072794,0.787369552337987
-0.4,800,"ctrCI","phi",0.7264,0.717526191729669,0.735098939074351
-0.4,800,"bcCI","phi",0.7152,0.706222535829338,0.724011257292178
-0.4,800,"bcaCI","phi",0.713,0.704002967509645,0.721832526882135
-0.4,800,"propCI","phi",0.9495,0.94498093985835,0.95366982785195
0,100,"stdCI","phi",0.9261,0.920755753203096,0.931113814512622
0,100,"stuCI","phi",0.9421,0.93729855349081,0.94655820977546
0,100,"pctCI","phi",0.976,0.972759502961089,0.978868849667178
0,100,"ctrCI","phi",0.8512,0.844038888633495,0.858089458257664
0,100,"bcCI","phi",0.8681,0.861275205782738,0.874639964233263
0,100,"bcaCI","phi",0.8637,0.856784391411255,0.870334212217937
0,100,"propCI","phi",0.928,0.922716084645621,0.932951971047997
0,1600,"stdCI","phi",0.945,0.940306490212699,0.949347930534741
0,1600,"stuCI","phi",0.9467,0.942071358250751,0.950981685230467
0,1600,"pctCI","phi",0.9622,0.958228779365519,0.96581151055596
0,1600,"ctrCI","phi",0.9194,0.913850645497095,0.924624240132033
0,1600,"bcCI","phi",0.9222,0.916734964287357,0.927337701411695
0,1600,"bcaCI","phi",0.9213,0.915807649065077,0.926465730551954
0,1600,"propCI","phi",0.9445,0.939787640266106,0.948867184967359
0,200,"stdCI","phi",0.9339,0.928810114063689,0.938653233280935
0,200,"stuCI","phi",0.9444,0.939683882517269,0.9487710235822
0,200,"pctCI","phi",0.9731,0.969689850869861,0.976141091342609
0,200,"ctrCI","phi",0.8789,0.872308703390344,0.885198028236957
0,200,"bcCI","phi",0.887,0.88059452219778,0.893105869288592
0,200,"bcaCI","phi",0.883,0.876501552248916,0.88920197151405
