"phi","n","blksize","CI","target","cov","LB","UB"
0,1600,12,"bcCI","mu",0.9481,0.943525710915456,0.952326195876953
0,1600,12,"bcaCI","mu",0.9487,0.944149271200351,0.952902147716477
0,1600,12,"propCI","mu",0.9486,0.944045333198836,0.952806167061641
0,1600,24,"stdCI","mu",0.9508,0.946333038689473,0.954916669012483
0,1600,24,"stuCI","mu",0.9551,0.950811348325954,0.959034835501468
0,1600,24,"pctCI","mu",0.9488,0.94425321374584,0.952998123814779
0,1600,24,"ctrCI","mu",0.9483,0.943733546333433,0.952518197883227
0,1600,24,"bcCI","mu",0.9489,0.944357160847865,0.953094095343924
0,1600,24,"bcaCI","mu",0.9491,0.944565068772065,0.953286024643954
0,1600,24,"propCI","mu",0.949,0.944461112519045,0.95319006229123
0,200,12,"stdCI","mu",0.9315,0.926329922912401,0.936335342242995
0,200,12,"stuCI","mu",0.95,0.945500883355465,0.954149476928366
0,200,12,"pctCI","mu",0.9292,0.923954712491203,0.934112387238372
0,200,12,"ctrCI","mu",0.9305,0.925297030056914,0.935369033123467
0,200,12,"bcCI","mu",0.928,0.922716084645621,0.932951971047997
0,200,12,"bcaCI","mu",0.928,0.922716084645621,0.932951971047997
0,200,12,"propCI","mu",0.9295,0.924264434205505,0.934402426406959
0,200,6,"stdCI","mu",0.9423,0.937505891280556,0.946750710695684
0,200,6,"stuCI","mu",0.952,0.947581852522461,0.956066874623383
0,200,6,"pctCI","mu",0.9403,0.935433194277224,0.944825018960558
0,200,6,"ctrCI","mu",0.9416,0.936780275903603,0.946076890425495
0,200,6,"bcCI","mu",0.9406,0.935744003514238,0.945113968261627
0,200,6,"bcaCI","mu",0.9411,0.936262092953108,0.945595476210937
0,200,6,"propCI","mu",0.9413,0.936469354849437,0.945788053207668
0,3200,15,"stdCI","mu",0.9477,0.943110093621107,0.951942138176808
0,3200,15,"stuCI","mu",0.9487,0.944149271200351,0.952902147716477
0,3200,15,"pctCI","mu",0.945,0.940306490212699,0.949347930534741
0,3200,15,"ctrCI","mu",0.9467,0.942071358250751,0.950981685230467
0,3200,15,"bcCI","mu",0.9455,0.940825443123844,0.949828572873242
0,3200,15,"bcaCI","mu",0.9455,0.940825443123844,0.949828572873242
0,3200,15,"propCI","mu",0.9453,0.940617849518961,0.949636328410368
0,3200,30,"stdCI","mu",0.9501,0.945604886138187,0.95424539262046
0,3200,30,"stuCI","mu",0.9525,0.948102402385832,0.956545915573021
0,3200,30,"pctCI","mu",0.9493,0.944772995074659,0.953477935514363
0,3200,30,"ctrCI","mu",0.9484,0.943837470777787,0.952614192132546
0,3200,30,"bcCI","mu",0.9479,0.943317893376994,0.952134175942345
0,3200,30,"bcaCI","mu",0.9473,0.942694547073855,0.951558009537963
0,3200,30,"propCI","mu",0.9491,0.944565068772065,0.953286024643954
0,400,15,"stdCI","mu",0.9394,0.934500963842999,0.943957973318219
0,400,15,"stuCI","mu",0.9504,0.945916922893283,0.954533111208841
0,400,15,"pctCI","mu",0.9374,0.932430374391237,0.942030169111147
0,400,15,"ctrCI","mu",0.9368,0.931809468314844,0.94145155647973
0,400,15,"bcCI","mu",0.9371,0.932119905999591,0.941740878183027
0,400,15,"bcaCI","mu",0.9372,0.93222339204149,0.94183731192201
0,400,15,"propCI","mu",0.9371,0.932119905999591,0.941740878183027
0,400,8,"stdCI","mu",0.9413,0.936469354849437,0.945788053207668
0,400,8,"stuCI","mu",0.9469,0.942279070516263,0.951173810721432
0,400,8,"pctCI","mu",0.9403,0.935433194277224,0.944825018960558
0,400,8,"ctrCI","mu",0.9381,0.933154921213875,0.942705060431186
0,400,8,"bcCI","mu",0.9381,0.933154921213875,0.942705060431186
0,400,8,"bcaCI","mu",0.9382,0.93325844179659,0.942801459551817
0,400,8,"propCI","mu",0.9401,0.93522600648526,0.944632367683914
0,800,10,"stdCI","mu",0.9491,0.944565068772065,0.953286024643954
0,800,10,"stuCI","mu",0.9534,0.949039712709705,0.957407867748376
0,800,10,"pctCI","mu",0.9478,0.943213991282251,0.952038159282391
