"phi","n","CI","target","cov","LB","UB"
0,800,"ctrCI","phi",0.9428,0.93802430329525,0.947231895290866
0,800,"bcaCI","phi",0.9208,0.915292561736743,0.925981214348125
0,800,"stdCI","phi",0.944,0.939268891980048,0.948386337480964
0,800,"stuCI","phi",0.9476,0.943006200381585,0.951846112637627
0.2,100,"pctCI","phi",0.9207,0.915189551731171,0.925884303634333
0.2,100,"ctrCI","phi",0.9273,0.921993740425589,0.932274872550345
0.2,100,"bcaCI","phi",0.8508,0.843631322464034,0.857697335961744
0.2,100,"stdCI","phi",0.9266,0.92127153295453,0.931597637043802
0.2,100,"stuCI","phi",0.9431,0.938335397196727,0.947520559240502
0.2,1600,"pctCI","phi",0.8962,0.890017911042905,0.902075264920753
0.2,1600,"ctrCI","phi",0.946,0.94134450033319,0.950309110643172
0.2,1600,"bcaCI","phi",0.8683,0.861479391013735,0.874835622874383
0.2,1600,"stdCI","phi",0.9467,0.942071358250751,0.950981685230467
0.2,1600,"stuCI","phi",0.9494,0.94487696514991,0.953573884006249
0.2,200,"pctCI","phi",0.921,0.915498589195063,0.926175028315643
0.2,200,"ctrCI","phi",0.9371,0.932119905999591,0.941740878183027
0.2,200,"bcaCI","phi",0.8594,0.852397907602139,0.866124049501945
0.2,200,"stdCI","phi",0.9373,0.932326881502833,0.941933742233932
0.2,200,"stuCI","phi",0.9458,0.941136864847053,0.950116908170437
0.2,3200,"pctCI","phi",0.8749,0.868220402329641,0.881289456481887
0.2,3200,"ctrCI","phi",0.9465,0.941863663204975,0.950789542474059
0.2,3200,"bcaCI","phi",0.8631,0.856172191467659,0.869746880209212
0.2,3200,"stdCI","phi",0.9478,0.943213991282251,0.952038159282391
0.2,3200,"stuCI","phi",0.9487,0.944149271200351,0.952902147716477
0.2,400,"pctCI","phi",0.913,0.907264911983642,0.918415036075354
0.2,400,"ctrCI","phi",0.9395,0.934604530513794,0.944054326245218
0.2,400,"bcaCI","phi",0.8796,0.873024385105302,0.885881799022806
0.2,400,"stdCI","phi",0.9407,0.935847613974296,0.945210277296831
0.2,400,"stuCI","phi",0.9469,0.942279070516263,0.951173810721432
0.2,800,"pctCI","phi",0.9151,0.909424824379685,0.920453464239114
0.2,800,"ctrCI","phi",0.9484,0.943837470777787,0.952614192132546
0.2,800,"bcaCI","phi",0.8843,0.877831503829345,0.890471002242157
0.2,800,"stdCI","phi",0.9489,0.944357160847865,0.953094095343924
0.2,800,"stuCI","phi",0.9525,0.948102402385832,0.956545915573021
0.4,100,"pctCI","phi",0.7764,0.768077783944146,0.784508642423213
0.4,100,"ctrCI","phi",0.9294,0.924161190729942,0.934305749593921
0.4,100,"bcaCI","phi",0.7481,0.739447005350841,0.756561335210691
0.4,100,"stdCI","phi",0.9319,0.926743164558122,0.936721781216461
0.4,100,"stuCI","phi",0.947,0.94238293313502,0.951269866963641
0.4,1600,"pctCI","phi",0.6652,0.655838326496916,0.674434114749743
