"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
0.2,100,10,"pctCI","rho",0.9047,0.898737252738155,0.910349240159958,0.898776522055059,0.910386558706191
0.2,100,10,"ctrCI","rho",0.8085,0.800619261739232,0.816142275668501,0.800648501096441,0.816171414935983
0.2,100,10,"bcCI","rho",0.867,0.860152277017317,0.873563751615505,0.860187512758409,0.873597966622374
0.2,100,10,"bcaCI","rho",0.8572,0.850154498165932,0.863969173917124,0.850188712547939,0.864002555311467
0.2,100,10,"propCI","rho",0.9026,0.896581825816212,0.908306319863986,0.896620864643039,0.908343471272065
0.2,100,5,"stdCI","rho",0.9049,0.898942575513428,0.910543759915362,0.898981866828014,0.910581094333868
0.2,100,5,"stuCI","rho",0.9237,0.918280948921191,0.928790526101781,0.918322351222458,0.928829309899819
0.2,100,5,"pctCI","rho",0.9227,0.91725022818487,0.927822040736724,0.917291515669289,0.927860749934341
0.2,100,5,"ctrCI","rho",0.8037,0.795748332236331,0.811416929584425,0.795777088161314,0.811445643873859
0.2,100,5,"bcCI","rho",0.8518,0.844650270465746,0.858677609096377,0.844683925547066,0.858710527698424
0.2,100,5,"bcaCI","rho",0.8416,0.834261965748687,0.848673854198018,0.834294570343357,0.848705892722471
0.2,100,5,"propCI","rho",0.9183,0.912718044954641,0.923557711892184,0.912758831050349,0.923596089098393
0.2,1600,12,"stdCI","rho",0.9419,0.937091231026524,0.946365693492534,0.937134795805509,0.946405763350839
0.2,1600,12,"stuCI","rho",0.9443,0.939580128824469,0.948674858130711,0.939623992091436,0.948715084475604
0.2,1600,12,"pctCI","rho",0.9099,0.904078220817679,0.915404174171666,0.904118064847959,0.915441902659897
0.2,1600,12,"ctrCI","rho",0.8932,0.88694354279474,0.899151987920701,0.886981559850527,0.899188381365833
0.2,1600,12,"bcCI","rho",0.8933,0.887045997360762,0.899249454893426,0.887084025207887,0.899285856479592
0.2,1600,12,"bcaCI","rho",0.8874,0.881003952961352,0.893496125144336,0.881041346712112,0.893532043847834
0.2,1600,12,"propCI","rho",0.9437,0.938957691273778,0.948097780602061,0.939001479547274,0.948137968190262
0.2,1600,24,"stdCI","rho",0.9345,0.929430444875452,0.939232422425633,0.929473111423932,0.939271988054407
0.2,1600,24,"stuCI","rho",0.9401,0.93522600648526,0.944632367683914,0.935269349873578,0.944672317744951
0.2,1600,24,"pctCI","rho",0.9279,0.92261288417261,0.932855251148916,0.922654772559758,0.932894344471602
0.2,1600,24,"ctrCI","rho",0.916,0.910350803862824,0.921326773084735,0.910391330159591,0.921364974492364
0.2,1600,24,"bcCI","rho",0.9169,0.911276968810422,0.922199896165197,0.911317596590515,0.922238166538189
0.2,1600,24,"bcaCI","rho",0.9133,0.907573411207596,0.918706299882552,0.907613634359505,0.918744293107277
0.2,1600,24,"propCI","rho",0.9347,0.929637247536826,0.939425459695112,0.929679937974567,0.93946503933251
0.2,200,12,"stdCI","rho",0.9024,0.8963765905761,0.90811171245171,0.896415607496832,0.908148847897112
0.2,200,12,"stuCI","rho",0.9243,0.918899506400574,0.929371492058239,0.91894097775512,0.929410320455792
0.2,200,12,"pctCI","rho",0.9106,0.904797617945094,0.916084224783229,0.904837539802533,0.916122008000231
0.2,200,12,"ctrCI","rho",0.8513,0.844140782886936,0.858187486118315,0.84417438629696,0.858220361754521
0.2,200,12,"bcCI","rho",0.8855,0.879059375507563,0.891642190904117,0.879096566123493,0.891677953049838
0.2,200,12,"bcaCI","rho",0.8788,0.872206468791239,0.885100341044194,0.872242946857415,0.885135547392844
0.2,200,12,"propCI","rho",0.9097,0.903872697568093,0.915209855181888,0.903912519383025,0.915247568012629
0.2,200,6,"stdCI","rho",0.9139,0.90819046896941,0.919288768090083,0.90823075932222,0.919326807740006
0.2,200,6,"stuCI","rho",0.9248,0.919415043512718,0.929855557677441,0.919456572507172,0.929894423147178
0.2,200,6,"pctCI","rho",0.9163,0.910659504771123,0.921617834886261,0.91070006487083,0.92165605930683
0.2,200,6,"ctrCI","rho",0.8304,0.822867229380882,0.837677300180327,0.822898688464108,0.837708364451894
0.2,200,6,"bcCI","rho",0.8609,0.853927827487074,0.867592960026018,0.853962426479855,0.867626657145988
0.2,200,6,"bcaCI","rho",0.8518,0.844650270465746,0.858677609096377,0.844683925547066,0.858710527698424
0.2,200,6,"propCI","rho",0.922,0.916528876555968,0.927143947822564,0.916570083866201,0.927182604605205
0.2,3200,15,"stdCI","rho",0.9414,0.936572991430536,0.945884336059618,0.936616494507654,0.945924372841843
0.2,3200,15,"stuCI","rho",0.9426,0.937816926863874,0.947039433106789,0.93786057829878,0.947079549003037
0.2,3200,15,"pctCI","rho",0.9024,0.8963765905761,0.90811171245171,0.896415607496832,0.908148847897112
0.2,3200,15,"ctrCI","rho",0.8917,0.885406922310224,0.897689785080487,0.885444777683183,0.89772605622512
0.2,3200,15,"bcCI","rho",0.8916,0.885304494053678,0.897592291766025,0.885342338660118,0.897628554745104
0.2,3200,15,"bcaCI","rho",0.8887,0.882334774618507,0.894764284799731,0.882372307646151,0.894800310335182
0.2,3200,15,"propCI","rho",0.9404,0.935536793674388,0.944921339084768,0.935580173821486,0.944961309249284
0.2,3200,30,"stdCI","rho",0.9391,0.934190285362793,0.943668892955268,0.934233506610567,0.943708775622605
0.2,3200,30,"stuCI","rho",0.9414,0.936572991430536,0.945884336059618,0.936616494507654,0.945924372841843
0.2,3200,30,"pctCI","rho",0.9287,0.923438567452795,0.933628930692301,0.923480549179732,0.933668082231549
0.2,3200,30,"ctrCI","rho",0.918,0.912409204056542,0.923266790310943,0.912449956180211,0.923305144670909
0.2,3200,30,"bcCI","rho",0.9199,0.91436556049046,0.925108928967181,0.914406528218334,0.925147427578492
0.2,3200,30,"bcaCI","rho",0.9166,0.910968226386517,0.921908875946987,0.91100882031393,0.921947123356078
0.2,3200,30,"propCI","rho",0.9371,0.932119905999591,0.941740878183027,0.932162884685448,0.941780624372782
0.2,400,15,"stdCI","rho",0.9159,0.910247908144235,0.92122974789261,0.910288423178824,0.921267941623868
0.2,400,15,"stuCI","rho",0.9292,0.923954712491203,0.934112387238372,0.923996752685086,0.9341515750354
0.2,400,15,"pctCI","rho",0.9183,0.912718044954641,0.923557711892184,0.912758831050349,0.923596089098393
0.2,400,15,"ctrCI","rho",0.8822,0.875683244448155,0.888420905448452,0.875720083397192,0.888456394544938
0.2,400,15,"bcCI","rho",0.9034,0.897402842000198,0.909084674186008,0.897441968529451,0.909121889367748
0.2,400,15,"bcaCI","rho",0.8963,0.890120416370485,0.902172681068099,0.890158768707375,0.902209326144766
0.2,400,15,"propCI","rho",0.92,0.914468550801288,0.925205859409583,0.914509529906707,0.925244365583547
0.2,400,8,"stdCI","rho",0.9213,0.915807649065077,0.926465730551954,0.91584877635999,0.926504334763093
0.2,400,8,"stuCI","rho",0.929,0.923748245831192,0.933919013281442,0.923790262626191,0.933958186587276
0.2,400,8,"pctCI","rho",0.9124,0.906647972388796,0.91783244951625,0.90668809491013,0.917870372934759
0.2,400,8,"ctrCI","rho",0.8678,0.860968937401516,0.874346466797187,0.86100425691034,0.874380749466536
0.2,400,8,"bcCI","rho",0.8882,0.881822888917289,0.894276562340375,0.881860368348526,0.894312546814657
0.2,400,8,"bcaCI","rho",0.8783,0.87169531687015,0.88461188398349,0.871731741983197,0.884647048635005
0.2,400,8,"propCI","rho",0.9248,0.919415043512718,0.929855557677441,0.919456572507172,0.929894423147178
0.2,800,10,"stdCI","rho",0.9325,0.927363118797398,0.937301347718488,0.927405547505158,0.93734077222614
0.2,800,10,"stuCI","rho",0.9361,0.931085231995624,0.940776353965781,0.931128090217322,0.940816031113559
0.2,800,10,"pctCI","rho",0.9137,0.907984774229403,0.919094620854171,0.908025042171676,0.919132645039124
0.2,800,10,"ctrCI","rho",0.8839,0.877422261231572,0.890080558005699,0.877459281164738,0.890116187939495
0.2,800,10,"bcCI","rho",0.8907,0.884382712739317,0.896714778852877,0.884420460515272,0.896750968274588
0.2,800,10,"bcaCI","rho",0.8859,0.87946871439195,0.892032538744837,0.879505947732062,0.892068333890661
0.2,800,10,"propCI","rho",0.9328,0.927673137581544,0.937591089219285,0.927715601846205,0.937630535012394
0.2,800,19,"stdCI","rho",0.9307,0.925503584677967,0.935562318945525,0.925545800889562,0.935601614908657
0.2,800,19,"stuCI","rho",0.9379,0.932947890507844,0.942512251706878,0.932990965951118,0.942552052750536
0.2,800,19,"pctCI","rho",0.9281,0.922819287946867,0.93304868811341,0.922861199645326,0.933087796013507
0.2,800,19,"ctrCI","rho",0.9089,0.903050687362446,0.914432496306563,0.903090420407902,0.914470146416658
0.2,800,19,"bcCI","rho",0.9156,0.909939234689182,0.920938658593357,0.909979715953538,0.920976829279431
0.2,800,19,"bcaCI","rho",0.9109,0.905105962500063,0.916375643497399,0.90514591774733,0.916413450134736
0.2,800,19,"propCI","rho",0.9324,0.927259785396326,0.937204761011804,0.927302202260906,0.937244178415329
0.4,100,10,"stdCI","rho",0.8828,0.876296966494941,0.88900671381119,0.876333869278374,0.889042252656838
0.4,100,10,"stuCI","rho",0.926,0.920652605458594,0.931017041785251,0.920694273151628,0.931055995870895
0.4,100,10,"pctCI","rho",0.8393,0.831920980408878,0.846416628857368,0.831953349121551,0.846448467949482
0.4,100,10,"ctrCI","rho",0.7883,0.780132679983029,0.796244524280273,0.780159891361738,0.796271868679116
0.4,100,10,"bcCI","rho",0.8332,0.825714787377101,0.840427565602553,0.825746532118204,0.840458874151136
0.4,100,10,"bcaCI","rho",0.8205,0.812804804936678,0.827947416435555,0.812835257546051,0.82797761351181
0.4,100,10,"propCI","rho",0.8902,0.883870668441302,0.896227215178707,0.883908362475038,0.896263363683343
0.4,100,5,"stdCI","rho",0.8994,0.893298948459298,0.905191713580981,0.8933376376967,0.905228608689711
0.4,100,5,"stuCI","rho",0.9191,0.91354172560102,0.924333397681568,0.913582602417512,0.924371835684254
0.4,100,5,"pctCI","rho",0.8046,0.796661492927689,0.812303070646738,0.796690339419307,0.812331864695899
0.4,100,5,"ctrCI","rho",0.7676,0.759169435942127,0.775823807149296,0.759194584914441,0.775849296588232
0.4,100,5,"bcCI","rho",0.7914,0.783274675848091,0.799300125182719,0.783302197392155,0.799327746083379
0.4,100,5,"bcaCI","rho",0.7819,0.773648149263701,0.789934015395584,0.773674721418777,0.789960787841645
0.4,100,5,"propCI","rho",0.9079,0.902023359058625,0.913460612986226,0.902062981345603,0.91349818449487
0.4,1600,12,"stdCI","rho",0.9446,0.939891402081272,0.94896334227585,0.939935302941425,0.949003587904347
0.4,1600,12,"stuCI","rho",0.9468,0.942175212225334,0.951077750139863,0.942219390823916,0.951118135163108
0.4,1600,12,"pctCI","rho",0.7741,0.765748968590289,0.782239239652393,0.765774763627686,0.782265313107364
0.4,1600,12,"ctrCI","rho",0.7888,0.78063940655142,0.796737410118272,0.780666667932403,0.796764799138413
0.4,1600,12,"bcCI","rho",0.7699,0.761497260257416,0.778094201418085,0.761522637683216,0.778119897662071
0.4,1600,12,"bcaCI","rho",0.7656,0.757145520368401,0.77384927165452,0.75717047081969,0.773874581129602
0.4,1600,12,"propCI","rho",0.9438,0.939061420843964,0.948193970236971,0.939105221598712,0.948234164301968
0.4,1600,24,"stdCI","rho",0.9304,0.925193757204152,0.935272385745771,0.925235938136767,0.935311660149937
0.4,1600,24,"stuCI","rho",0.9351,0.930050891775213,0.939811495235233,0.930093630050656,0.939851102831664
0.4,1600,24,"pctCI","rho",0.8814,0.874865030072562,0.887639745854646,0.874901783979822,0.88767516854896
0.4,1600,24,"ctrCI","rho",0.8901,0.883768264389748,0.89612969763006,0.883805947679493,0.89616583794688
0.4,1600,24,"bcCI","rho",0.8904,0.884075481346699,0.896422245467961,0.88411319687286,0.896458410343837
0.4,1600,24,"bcaCI","rho",0.8853,0.878854715160624,0.891447007878125,0.878891884422559,0.891482753515792
0.4,1600,24,"propCI","rho",0.9292,0.923954712491203,0.934112387238372,0.923996752685086,0.9341515750354
0.4,200,12,"stdCI","rho",0.9038,0.897813395517724,0.909473805858614,0.897852565945535,0.909511052880449
0.4,200,12,"stuCI","rho",0.9273,0.921993740425589,0.932274872550345,0.922035558971914,0.932313922049118
0.4,200,12,"pctCI","rho",0.8578,0.85076628182172,0.864556922588571,0.850800558494151,0.86459035525978
0.4,200,12,"ctrCI","rho",0.83,0.822460494970036,0.837284345489209,0.822491913282313,0.837315374827054
0.4,200,12,"bcCI","rho",0.8618,0.854845906679999,0.868474178963675,0.854880599405985,0.868507952704309
0.4,200,12,"bcaCI","rho",0.8508,0.843631322464034,0.857697335961744,0.843664874221787,0.857730168613263
0.4,200,12,"propCI","rho",0.9088,0.902947945350277,0.914335317169852,0.902987667309795,0.914372959429758
0.4,200,6,"stdCI","rho",0.9122,0.906442343196191,0.917638236630665,0.90648244338259,0.917676144509643
0.4,200,6,"stuCI","rho",0.9231,0.917662485443772,0.928209465973896,0.917703818814634,0.928248205051379
0.4,200,6,"pctCI","rho",0.7868,0.778612607782516,0.794765759206048,0.778639669209917,0.794792969685848
0.4,200,6,"ctrCI","rho",0.7745,0.766153954412289,0.782633943951114,0.766179789252133,0.782660053301212
0.4,200,6,"bcCI","rho",0.7866,0.778409943627008,0.794568578385349,0.778436985067152,0.794595771003067
0.4,200,6,"bcaCI","rho",0.7791,0.77081206773205,0.787172266650168,0.770838360683495,0.787198788413151
0.4,200,6,"propCI","rho",0.9159,0.910247908144235,0.92122974789261,0.910288423178824,0.921267941623868
0.4,3200,15,"stdCI","rho",0.9445,0.939787640266106,0.948867184967359,0.93983152858797,0.948907424175086
0.4,3200,15,"stuCI","rho",0.9455,0.940825443123844,0.949828572873242,0.940869457159445,0.949868875963702
0.4,3200,15,"pctCI","rho",0.7478,0.739143765798972,0.756264806956064,0.73916695461455,0.756288509581384
0.4,3200,15,"ctrCI","rho",0.7663,0.757853861405048,0.774540388504984,0.757878881324631,0.774565760981396
0.4,3200,15,"bcCI","rho",0.7351,0.726311480989102,0.743706919428439,0.72633341819709,0.743729470332478
0.4,3200,15,"bcaCI","rho",0.7317,0.722877643565716,0.740343387296176,0.722899246389485,0.740365629177081
0.4,3200,15,"propCI","rho",0.942,0.937194890347625,0.946461953549674,0.937238467486345,0.946502030004169
0.4,3200,30,"stdCI","rho",0.9412,0.936365722026615,0.945691766588441,0.936409200467677,0.945731790096317
0.4,3200,30,"stuCI","rho",0.9431,0.938335397196727,0.947520559240502,0.938379110728549,0.947560707824648
0.4,3200,30,"pctCI","rho",0.8813,0.874762759803751,0.887542094370123,0.874799503086421,0.887577508758597
0.4,3200,30,"ctrCI","rho",0.8954,0.889197930273654,0.901295873811803,0.889236185108863,0.901332445994183
0.4,3200,30,"bcCI","rho",0.8926,0.886328850177234,0.898567151262816,0.886366802517967,0.898603495829168
0.4,3200,30,"bcaCI","rho",0.8891,0.882744311462694,0.895154434450683,0.882781887393296,0.89519049280954
0.4,3200,30,"propCI","rho",0.9385,0.933569024558344,0.943090635852426,0.933612172801812,0.943130477808263
0.4,400,15,"stdCI","rho",0.9181,0.912512148651334,0.923363766546553,0.91255291209612,0.923402128524789
0.4,400,15,"stuCI","rho",0.931,0.925813438987613,0.935852225255715,0.925855690516676,0.93589154273993
0.4,400,15,"pctCI","rho",0.8695,0.862704608993142,0.876009468024406,0.862740106717899,0.876043894269192
0.4,400,15,"ctrCI","rho",0.8644,0.857498679799602,0.871019377722877,0.857533643719346,0.871053372407244
0.4,400,15,"bcCI","rho",0.8796,0.873024385105302,0.885881799022806,0.873060947958351,0.885917072025691
0.4,400,15,"bcaCI","rho",0.8705,0.863725764653057,0.876987531501716,0.863761367346425,0.877022042068348
0.4,400,15,"propCI","rho",0.9217,0.916219763948104,0.926853298416251,0.916260936946797,0.926891932687226
0.4,400,8,"stdCI","rho",0.9201,0.914571543559211,0.925302787400702,0.914612534045232,0.925341301134307
0.4,400,8,"stuCI","rho",0.9262,0.92085890367605,0.931210584506447,0.920900594536307,0.931249553311385
0.4,400,8,"pctCI","rho",0.8037,0.795748332236331,0.811416929584425,0.795777088161314,0.811445643873859
0.4,400,8,"ctrCI","rho",0.8013,0.793313545447295,0.809053578186263,0.793342060030627,0.80908207961494
0.4,400,8,"bcCI","rho",0.7999,0.791893458457019,0.807674751117209,0.791921832369737,0.807703128265901
0.4,400,8,"bcaCI","rho",0.7915,0.783376042167014,0.799398681334062,0.783403573722467,0.799426311148121
0.4,400,8,"propCI","rho",0.923,0.91755941726574,0.928112613534798,0.917600739159989,0.928151345147242
0.4,800,10,"stdCI","rho",0.9391,0.934190285362793,0.943668892955268,0.934233506610567,0.943708775622605
0.4,800,10,"stuCI","rho",0.9427,0.937920613135651,0.947135666147515,0.93796427697647,0.947175788594578
0.4,800,10,"pctCI","rho",0.7983,0.790270685257169,0.806098765289122,0.790298898502763,0.806127000304957
0.4,800,10,"ctrCI","rho",0.8083,0.800416269753228,0.815945422859987,0.800445488947013,0.815974544440313
0.4,800,10,"bcCI","rho",0.7999,0.791893458457019,0.807674751117209,0.791921832369737,0.807703128265901
0.4,800,10,"bcaCI","rho",0.793,0.784896624775525,0.800876935732859,0.784924306547873,0.800904699202164
0.4,800,10,"propCI","rho",0.9392,0.934293841275767,0.943765256664942,0.934337074711105,0.943805146097691
0.4,800,19,"stdCI","rho",0.9296,0.924367680592793,0.934499100302549,0.924409767633353,0.934538317033822
0.4,800,19,"stuCI","rho",0.9374,0.932430374391237,0.942030169111147,0.932473389320249,0.942069935911311
0.4,800,19,"pctCI","rho",0.8803,0.873740136354196,0.886565500199975,0.873776773458988,0.886600831462786
0.4,800,19,"ctrCI","rho",0.8778,0.871184199936693,0.88412339189802,0.871220572126029,0.884158514823305
0.4,800,19,"bcCI","rho",0.8871,0.880696877572668,0.893203435571219,0.880734239216412,0.89323932958778
0.4,800,19,"bcaCI","rho",0.8776,0.870979762918445,0.883927985298384,0.871016113946474,0.883963091525089
0.4,800,19,"propCI","rho",0.9295,0.924264434205505,0.934402426406959,0.924306509528249,0.934441635910722
