"phi","n","blksize","CI","target","cov","LB","UB"
-0.2,200,12,"propCI","mu",0.9302,0.924987220384623,0.935079082086683
-0.2,200,6,"stdCI","mu",0.9405,0.935640396750503,0.945017655521359
-0.2,200,6,"stuCI","mu",0.9491,0.944565068772065,0.953286024643954
-0.2,200,6,"pctCI","mu",0.9383,0.933361965876285,0.942897855167544
-0.2,200,6,"ctrCI","mu",0.9363,0.93129213986023,0.940969285804703
-0.2,200,6,"bcCI","mu",0.9399,0.935018833305983,0.944439701760339
-0.2,200,6,"bcaCI","mu",0.941,0.936158467619992,0.945499182084118
-0.2,200,6,"propCI","mu",0.9393,0.934397400766418,0.943861616788687
-0.2,3200,15,"stdCI","mu",0.9527,0.948310657700524,0.956737496477709
-0.2,3200,15,"stuCI","mu",0.9534,0.949039712709705,0.957407867748376
-0.2,3200,15,"pctCI","mu",0.9511,0.946645176110138,0.955204286645674
-0.2,3200,15,"ctrCI","mu",0.9513,0.946853292016019,0.955396007371772
-0.2,3200,15,"bcCI","mu",0.9522,0.947790057384716,0.956258506131294
-0.2,3200,15,"bcaCI","mu",0.9522,0.947790057384716,0.956258506131294
-0.2,3200,15,"propCI","mu",0.9517,0.947269582639897,0.955779389839834
-0.2,3200,30,"stdCI","mu",0.9468,0.942175212225334,0.951077750139863
-0.2,3200,30,"stuCI","mu",0.9496,0.945084919212975,0.953765767038407
-0.2,3200,30,"pctCI","mu",0.9454,0.94072164424087,0.94973245272772
-0.2,3200,30,"ctrCI","mu",0.945,0.940306490212699,0.949347930534741
-0.2,3200,30,"bcCI","mu",0.9454,0.94072164424087,0.94973245272772
-0.2,3200,30,"bcaCI","mu",0.9459,0.94124068048243,0.950213011520003
-0.2,3200,30,"propCI","mu",0.9456,0.940929246178648,0.949924688836119
-0.2,400,15,"stdCI","mu",0.9376,0.932637370479841,0.942223012530722
-0.2,400,15,"stuCI","mu",0.9484,0.943837470777787,0.952614192132546
-0.2,400,15,"pctCI","mu",0.9358,0.93077489521264,0.940486931138822
-0.2,400,15,"ctrCI","mu",0.9332,0.928086539555322,0.937977367535128
-0.2,400,15,"bcCI","mu",0.9351,0.930050891775213,0.939811495235233
-0.2,400,15,"bcaCI","mu",0.9352,0.930154310982767,0.939907995954818
-0.2,400,15,"propCI","mu",0.9356,0.930568020615465,0.940293965959926
-0.2,400,8,"stdCI","mu",0.9435,0.938750244079226,0.947905389356528
-0.2,400,8,"stuCI","mu",0.9477,0.943110093621107,0.951942138176808
-0.2,400,8,"pctCI","mu",0.942,0.937194890347625,0.946461953549674
-0.2,400,8,"ctrCI","mu",0.9407,0.935847613974296,0.945210277296831
