"phi","n","blksize","CI","target","cov","LB","UB"
-0.4,3200,30,"propCI","sigma",0.9363,0.93129213986023,0.940969285804703
-0.4,400,15,"stdCI","sigma",0.9095,0.903667182622447,0.915015527875751
-0.4,400,15,"stuCI","sigma",0.9225,0.917044114962956,0.927628312683194
-0.4,400,15,"pctCI","sigma",0.9059,0.899969306010332,0.911516241906769
-0.4,400,15,"ctrCI","sigma",0.9062,0.900277363330781,0.911807948278459
-0.4,400,15,"bcCI","sigma",0.9085,0.902639731592193,0.914043767463152
-0.4,400,15,"bcaCI","sigma",0.9125,0.906750790227778,0.917929552711348
-0.4,400,15,"propCI","sigma",0.9075,0.901612484506252,0.913071802805686
-0.4,400,8,"stdCI","sigma",0.9135,0.907779088318019,0.918900464775747
-0.4,400,8,"stuCI","sigma",0.9208,0.915292561736743,0.925981214348125
-0.4,400,8,"pctCI","sigma",0.9126,0.906853610233007,0.918026653736844
-0.4,400,8,"ctrCI","sigma",0.9111,0.90531153610044,0.916569912060418
-0.4,400,8,"bcCI","sigma",0.9152,0.909527701913713,0.920550507645107
-0.4,400,8,"bcaCI","sigma",0.9179,0.912306261827733,0.92316981170541
-0.4,400,8,"propCI","sigma",0.9139,0.90819046896941,0.919288768090083
-0.4,800,10,"stdCI","sigma",0.9268,0.921477864097743,0.931791146777497
-0.4,800,10,"stuCI","sigma",0.9313,0.926123320294872,0.936142104513976
-0.4,800,10,"pctCI","sigma",0.9249,0.919518158906995,0.92995236281486
-0.4,800,10,"ctrCI","sigma",0.9254,0.920033776005976,0.930436348300608
-0.4,800,10,"bcCI","sigma",0.9271,0.921787381559176,0.932081390592267
-0.4,800,10,"bcaCI","sigma",0.9314,0.926226620091641,0.936238724893542
-0.4,800,10,"propCI","sigma",0.9256,0.920240041663835,0.930629923641919
-0.4,800,19,"stdCI","sigma",0.9223,0.916838011964269,0.927434574388321
-0.4,800,19,"stuCI","sigma",0.9311,0.925916729748925,0.935948854688973
-0.4,800,19,"pctCI","sigma",0.9196,0.914056604198869,0.924818122974086
-0.4,800,19,"ctrCI","sigma",0.9207,0.915189551731171,0.925884303634333
-0.4,800,19,"bcCI","sigma",0.9219,0.916425836492561,0.927047067219018
-0.4,800,19,"bcaCI","sigma",0.9244,0.919002608524568,0.929468310490177
-0.4,800,19,"propCI","sigma",0.9217,0.916219763948104,0.926853298416251
0,100,10,"stdCI","sigma",0.8537,0.846586572938096,0.860539826530645
0,100,10,"stuCI","sigma",0.8847,0.878240770335732,0.89086142254307
0,100,10,"pctCI","sigma",0.8383,0.830903324218737,0.845435062888725
0,100,10,"ctrCI","sigma",0.8503,0.8431218890846,0.857207158739292
0,100,10,"bcCI","sigma",0.847,0.839760299105364,0.853971318197094
0,100,10,"bcaCI","sigma",0.8544,0.847300048054403,0.861225806031691
0,100,10,"propCI","sigma",0.8463,0.839047382423989,0.853284779799779
0,100,5,"stdCI","sigma",0.8641,0.857192548913445,0.870725742661546
0,100,5,"stuCI","sigma",0.8811,0.874558223600786,0.887346787061682
0,100,5,"pctCI","sigma",0.8531,0.845975066076678,0.859951800826172
0,100,5,"ctrCI","sigma",0.8656,0.85872331335932,0.872193807850266
0,100,5,"bcCI","sigma",0.8647,0.857804821656443,0.871313001803297
0,100,5,"bcaCI","sigma",0.8755,0.868833507501141,0.881875882378695
0,100,5,"propCI","sigma",0.8598,0.852805860469556,0.86651578476671
0,1600,12,"stdCI","sigma",0.9381,0.933154921213875,0.942705060431186
0,1600,12,"stuCI","sigma",0.9404,0.935536793674388,0.944921339084768
0,1600,12,"pctCI","sigma",0.936,0.930981783073375,0.940679883025309
0,1600,12,"ctrCI","sigma",0.9373,0.932326881502833,0.941933742233932
0,1600,12,"bcCI","sigma",0.9364,0.931395598817207,0.941065746688475
0,1600,12,"bcaCI","sigma",0.9368,0.931809468314844,0.94145155647973
0,1600,12,"propCI","sigma",0.9356,0.930568020615465,0.940293965959926
0,1600,24,"stdCI","sigma",0.937,0.93201642336955,0.9416444410246
0,1600,24,"stuCI","sigma",0.9413,0.936469354849437,0.945788053207668
0,1600,24,"pctCI","sigma",0.9359,0.93087833748146,0.940583408747233
0,1600,24,"ctrCI","sigma",0.9349,0.929844063151603,0.939618483983526
0,1600,24,"bcCI","sigma",0.935,0.929947475833823,0.939714991242461
0,1600,24,"bcaCI","sigma",0.9344,0.929327048385084,0.939135898940267
0,1600,24,"propCI","sigma",0.9367,0.931705995875154,0.94135510910837
0,200,12,"stdCI","sigma",0.8925,0.886226407185095,0.898469672701948
0,200,12,"stuCI","sigma",0.9122,0.906442343196191,0.917638236630665
0,200,12,"pctCI","sigma",0.8857,0.879264041913394,0.891837367864308
0,200,12,"ctrCI","sigma",0.8929,0.886636189045662,0.898859577041251
0,200,12,"bcCI","sigma",0.8924,0.886123965838257,0.898372192493761
0,200,12,"bcaCI","sigma",0.8975,0.891350615517404,0.903341539446692
0,200,12,"propCI","sigma",0.8886,0.882232394341845,0.894666743447966
0,200,6,"stdCI","sigma",0.8925,0.886226407185095,0.898469672701948
0,200,6,"stuCI","sigma",0.9023,0.896273975762752,0.908014405935016
0,200,6,"pctCI","sigma",0.8865,0.88008276840318,0.892618014768927
0,200,6,"ctrCI","sigma",0.8931,0.886841089888247,0.899054519286397
0,200,6,"bcCI","sigma",0.8956,0.889402915187941,0.901490731880127
0,200,6,"bcaCI","sigma",0.9014,0.895350526185802,0.907138563427343
0,200,6,"propCI","sigma",0.892,0.885714216863702,0.897982255228122
0,3200,15,"stdCI","sigma",0.9393,0.934397400766418,0.943861616788687
0,3200,15,"stuCI","sigma",0.9405,0.935640396750503,0.945017655521359
0,3200,15,"pctCI","sigma",0.9365,0.931499061133761,0.941162204205289
0,3200,15,"ctrCI","sigma",0.9382,0.93325844179659,0.942801459551817
0,3200,15,"bcCI","sigma",0.9366,0.931602526817273,0.941258658347734
0,3200,15,"bcaCI","sigma",0.938,0.933051404120247,0.942608657813575
0,3200,15,"propCI","sigma",0.9376,0.932637370479841,0.942223012530722
0,3200,30,"stdCI","sigma",0.9432,0.938439103003567,0.94761677269798
0,3200,30,"stuCI","sigma",0.9455,0.940825443123844,0.949828572873242
0,3200,30,"pctCI","sigma",0.9399,0.935018833305983,0.944439701760339
0,3200,30,"ctrCI","sigma",0.9405,0.935640396750503,0.945017655521359
0,3200,30,"bcCI","sigma",0.9399,0.935018833305983,0.944439701760339
0,3200,30,"bcaCI","sigma",0.9394,0.934500963842999,0.943957973318219
0,3200,30,"propCI","sigma",0.9411,0.936262092953108,0.945595476210937
0,400,15,"stdCI","sigma",0.9133,0.907573411207596,0.918706299882552
0,400,15,"stuCI","sigma",0.9252,0.919827521121203,0.930242762166304
0,400,15,"pctCI","sigma",0.91,0.904180985564217,0.915501330540131
0,400,15,"ctrCI","sigma",0.9124,0.906647972388796,0.91783244951625
0,400,15,"bcCI","sigma",0.9129,0.907162083279775,0.918317943762016
0,400,15,"bcaCI","sigma",0.9129,0.907162083279775,0.918317943762016
0,400,15,"propCI","sigma",0.9117,0.90592830789087,0.917152666682437
0,400,8,"stdCI","sigma",0.9149,0.909219076078089,0.92025937064983
0,400,8,"stuCI","sigma",0.9201,0.914571543559211,0.925302787400702
0,400,8,"pctCI","sigma",0.9108,0.905003178872194,0.916278506038752
0,400,8,"ctrCI","sigma",0.9134,0.90767624866441,0.918803383429268
0,400,8,"bcCI","sigma",0.9128,0.907059256755635,0.918220849265558
0,400,8,"bcaCI","sigma",0.9164,0.910762409670477,0.921714850882707
0,400,8,"propCI","sigma",0.9117,0.90592830789087,0.917152666682437
0,800,10,"stdCI","sigma",0.9318,0.926639849579956,0.936625176049125
0,800,10,"stuCI","sigma",0.9353,0.930257733463508,0.940004493394168
0,800,10,"pctCI","sigma",0.9304,0.925193757204152,0.935272385745771
0,800,10,"ctrCI","sigma",0.9308,0.925606866458137,0.935658957377967
0,800,10,"bcCI","sigma",0.9326,0.92746645529104,0.93739793132623
0,800,10,"bcaCI","sigma",0.9339,0.928810114063689,0.938653233280935
0,800,10,"propCI","sigma",0.9314,0.926226620091641,0.936238724893542
0,800,19,"stdCI","sigma",0.9287,0.923438567452795,0.933628930692301
0,800,19,"stuCI","sigma",0.9357,0.930671456259703,0.940390450207315
0,800,19,"pctCI","sigma",0.9257,0.920343178545124,0.930726707252709
0,800,19,"ctrCI","sigma",0.9252,0.919827521121203,0.930242762166304
0,800,19,"bcCI","sigma",0.9286,0.923335347067404,0.933532230744024
0,800,19,"bcaCI","sigma",0.9253,0.919930647219436,0.93033955658009
0,800,19,"propCI","sigma",0.9266,0.92127153295453,0.931597637043802
0.2,100,10,"stdCI","sigma",0.8422,0.834872744653729,0.84926260844735
0.2,100,10,"stuCI","sigma",0.881,0.874455957663482,0.887249131240922
0.2,100,10,"pctCI","sigma",0.824,0.816361228688424,0.831388274031221
0.2,100,10,"ctrCI","sigma",0.843,0.835687173109372,0.850047557487154
