"phi","n","CI","target","cov","LB","UB"
-0.4,400,"bcCI","rho",0.7762,0.748819995356899,0.801425300166511
-0.4,400,"bcaCI","rho",0.7731,0.745606709977313,0.798462964641638
-0.4,400,"propCI","rho",0.9625,0.94827307966865,0.973038819124445
-0.4,800,"stdCI","rho",0.9628,0.948616208980906,0.973292738295752
-0.4,800,"stuCI","rho",0.9658,0.952058551492548,0.9758204440993
-0.4,800,"pctCI","rho",0.8378,0.813140468591604,0.85981779422667
-0.4,800,"ctrCI","rho",0.7513,0.723065163807476,0.777575704493496
-0.4,800,"bcCI","rho",0.7463,0.717908118125541,0.772771960261717
-0.4,800,"bcaCI","rho",0.7452,0.716774196281799,0.771714505858971
-0.4,800,"propCI","rho",0.9618,0.947473187303942,0.97244557012335
0,100,"stdCI","rho",0.9172,0.897936863082912,0.933177202918331
0,100,"stuCI","rho",0.9353,0.917773657232632,0.949386367017988
0,100,"pctCI","rho",0.9735,0.96100126924696,0.982196061798384
0,100,"ctrCI","rho",0.8203,0.794768285791894,0.843328951051525
0,100,"bcCI","rho",0.8626,0.839340073663781,0.883019992977045
0,100,"bcaCI","rho",0.8526,0.828750666895419,0.873689525533252
0,100,"propCI","rho",0.9296,0.911496197532746,0.944312919073038
0,1600,"stdCI","rho",0.9378,0.920537023528595,0.951601255672067
0,1600,"stuCI","rho",0.94,0.922974263808034,0.95354475718471
0,1600,"pctCI","rho",0.9607,0.946218261616291,0.971511197260848
0,1600,"ctrCI","rho",0.9105,0.890658207356928,0.927111756086992
0,1600,"bcCI","rho",0.9156,0.89619586141379,0.931731597802444
0,1600,"bcaCI","rho",0.9132,0.893587717040708,0.929559778228153
0,1600,"propCI","rho",0.939,0.921865774163789,0.952662015483163
0,200,"stdCI","rho",0.9269,0.908533044002532,0.941899119924885
0,200,"stuCI","rho",0.9364,0.918988743743908,0.950361730096477
0,200,"pctCI","rho",0.9719,0.959128528850915,0.980886483383966
0,200,"ctrCI","rho",0.8552,0.831500498212388,0.876118891214503
0,200,"bcCI","rho",0.8828,0.86084861960795,0.901748474107004
0,200,"bcaCI","rho",0.8755,0.853056161771038,0.895000026628015
0,200,"propCI","rho",0.9322,0.914355782027923,0.946631019783601
0,3200,"stdCI","rho",0.9458,0.929426347109385,0.958641267394875
0,3200,"stuCI","rho",0.9474,0.931213569662512,0.960039678109023
0,3200,"pctCI","rho",0.9594,0.944738278402281,0.970403714736117
0,3200,"ctrCI","rho",0.9276,0.909300659612442,0.942525540745933
0,3200,"bcCI","rho",0.9276,0.909300659612442,0.942525540745933
0,3200,"bcaCI","rho",0.9266,0.908204194037786,0.941630523289197
0,3200,"propCI","rho",0.9451,0.928645477239707,0.95802839556681
0,400,"stdCI","rho",0.9312,0.913255204500033,0.945740194695649
0,400,"stuCI","rho",0.9387,0.921533440968264,0.95239697436696
0,400,"pctCI","rho",0.9641,0.950105373593935,0.974390695563301
0,400,"ctrCI","rho",0.8827,0.860741713484674,0.90165619147533
0,400,"bcCI","rho",0.8998,0.879093532341869,0.917364816721573
0,400,"bcaCI","rho",0.8945,0.873389581176434,0.912512217385583
0,400,"propCI","rho",0.9354,0.91788406891952,0.949475088208385
0,800,"stdCI","rho",0.94,0.922974263808034,0.95354475718471
0,800,"stuCI","rho",0.9432,0.926529053947801,0.956361727430812
0,800,"pctCI","rho",0.9635,0.949417602517931,0.973884428592613
0,800,"ctrCI","rho",0.9036,0.883192776335669,0.920834293417268
0,800,"bcCI","rho",0.9116,0.891851128651059,0.928109690001538
0,800,"bcaCI","rho",0.9056,0.885353661410895,0.92265689895089
0,800,"propCI","rho",0.9396,0.922530735552724,0.953191795958549
0.2,100,"stdCI","rho",0.9049,0.884597079624493,0.922019262839107
0.2,100,"stuCI","rho",0.9223,0.903498861192319,0.937772304505498
0.2,100,"pctCI","rho",0.9227,0.903935937169764,0.938131849313074
0.2,100,"ctrCI","rho",0.8037,0.777417764492199,0.827610796832172
0.2,100,"bcCI","rho",0.8518,0.82790503299129,0.872941556414746
0.2,100,"bcaCI","rho",0.8416,0.817141809377744,0.863386190336011
0.2,100,"propCI","rho",0.9183,0.899134869129643,0.934169971559208
0.2,1600,"stdCI","rho",0.9419,0.925083487771627,0.955218800353273
0.2,1600,"stuCI","rho",0.9443,0.92775380965195,0.957327196187215
0.2,1600,"pctCI","rho",0.9099,0.890007855157208,0.926567091345811
0.2,1600,"ctrCI","rho",0.8932,0.871992781491593,0.911319645545629
